Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.115339844226837158e+02,9.591647119560759904e+01,0.000000000000000000e+00,4.467799999999999727e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.125359764099121094e+02,9.896175247917179263e+01,0.000000000000000000e+00,4.467799999999999727e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.135260128974914551e+02,9.705194512786376038e+01,0.000000000000000000e+00,4.482399999999999807e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.145277819633483887e+02,9.659681351198358357e+01,0.000000000000000000e+00,4.497099999999999653e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.155175344944000244e+02,9.410614804677058487e+01,0.000000000000000000e+00,4.521500000000000341e+01,4.028300000000000125e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.165202581882476807e+02,9.458570358433706815e+01,0.000000000000000000e+00,4.536099999999999710e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.175092811584472656e+02,9.695935330467227686e+01,0.000000000000000000e+00,4.536099999999999710e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.185120580196380615e+02,9.492431871899692908e+01,0.000000000000000000e+00,4.550800000000000267e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.195005989074707031e+02,9.431256353593516906e+01,0.000000000000000000e+00,4.565400000000000347e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.205037734508514404e+02,9.567316658284910602e+01,0.000000000000000000e+00,4.570300000000000296e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.214925148487091064e+02,9.305057515871185103e+01,0.000000000000000000e+00,4.589800000000000324e+01,4.033200000000000074e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.224956967830657959e+02,9.288095893932383262e+01,0.000000000000000000e+00,4.604500000000000171e+01,4.038100000000000023e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.234842162132263184e+02,9.216239413387496882e+01,0.000000000000000000e+00,4.619100000000000250e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.244879240989685059e+02,9.341594891608079365e+01,0.000000000000000000e+00,4.624000000000000199e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.254761865139007568e+02,9.166079800629047725e+01,0.000000000000000000e+00,4.638700000000000045e+01,4.008800000000000097e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.264798867702484131e+02,8.895354575808445929e+01,0.000000000000000000e+00,4.663100000000000023e+01,4.023400000000000176e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.274675574302673340e+02,8.709138544964383755e+01,0.000000000000000000e+00,4.687500000000000000e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.284713954925537109e+02,9.216517167499546304e+01,0.000000000000000000e+00,4.677700000000000102e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.294595460891723633e+02,8.686839947169542597e+01,0.000000000000000000e+00,4.702100000000000080e+01,4.023400000000000176e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.304630031585693359e+02,8.795922694003276376e+01,0.000000000000000000e+00,4.711899999999999977e+01,4.003900000000000148e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.314516272544860840e+02,8.751484218746396948e+01,0.000000000000000000e+00,4.721699999999999875e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.324540441036224365e+02,9.005270635830403592e+01,0.000000000000000000e+00,4.716799999999999926e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.334433083534240723e+02,8.516945142694483195e+01,0.000000000000000000e+00,4.741199999999999903e+01,4.008800000000000097e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.344458587169647217e+02,8.323213360202636579e+01,0.000000000000000000e+00,4.765599999999999881e+01,4.013700000000000045e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.354347538948059082e+02,8.513432696509485709e+01,0.000000000000000000e+00,4.770499999999999829e+01,4.008800000000000097e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.364372580051422119e+02,8.215575197629873117e+01,0.000000000000000000e+00,4.789999999999999858e+01,4.018599999999999994e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.374258701801300049e+02,8.252543285171739740e+01,0.000000000000000000e+00,4.799799999999999756e+01,4.023400000000000176e+01,5.000000000000000000e+01,2.300000000000000000e+01
1.384290959835052490e+02,8.293015703307558795e+01,0.000000000000000000e+00,4.804699999999999704e+01,4.003900000000000148e+01,5.000000000000000000e+01,2.300000000000000000e+01
